"DateTime","windcode","open","high","low","close","volume","amount","change","pctchange","begintime","endtime"
2019-05-22 13:39:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:40:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:41:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:42:00,000048.SZ,19.03,19.03,19.03,19.03,1100,20933,0,0,201905221342.951996,201905221342.951996
2019-05-22 13:43:00,000048.SZ,19.03,19.03,19.03,19.03,1700,32351,0,0,201905221343.951996,201905221343.951996
2019-05-22 13:44:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:45:00,000048.SZ,19.02,19.02,19.02,19.02,2300,43746,-0.01,-0.000526,201905221345.951996,201905221345.951996
2019-05-22 13:46:00,000048.SZ,19,19,19,19,1000,19000,-0.02,-0.001051,201905221346.951996,201905221346.951996
2019-05-22 13:47:00,000048.SZ,19,19,19,19,600,11400,0,0,201905221347.951996,201905221347.951996
2019-05-22 13:48:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:49:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:50:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:51:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:52:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:53:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:54:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:55:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:56:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:57:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:58:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 13:59:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:00:00,000048.SZ,19.01,19.01,19.01,19.01,600,11406,0.01,0.000526,201905221400.951996,201905221400.951996
2019-05-22 14:01:00,000048.SZ,19.06,19.06,19.06,19.06,1000,19060,0.05,0.00263,201905221401.951996,201905221401.951996
2019-05-22 14:02:00,000048.SZ,19.01,19.01,19.01,19.01,5000,95050,-0.05,-0.002623,201905221402.951996,201905221402.951996
2019-05-22 14:03:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:04:00,000048.SZ,19.01,19.01,19.01,19.01,200,3802,0,0,201905221404.951996,201905221404.951996
2019-05-22 14:05:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:06:00,000048.SZ,19.06,19.06,19.01,19.01,5400,102919,0,0,201905221406.951996,201905221406.951996
2019-05-22 14:07:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:08:00,000048.SZ,19.07,19.07,19.07,19.07,100,1907,0.06,0.003156,201905221408.951996,201905221408.951996
2019-05-22 14:09:00,000048.SZ,19.01,19.01,19,19,1300,24712,-0.07,-0.003671,201905221409.951996,201905221409.951996
2019-05-22 14:10:00,000048.SZ,19,19,19,19,200,3800,0,0,201905221410.951996,201905221410.951996
2019-05-22 14:11:00,000048.SZ,19.01,19.01,19.01,19.01,100,1901,0.01,0.000526,201905221411.951996,201905221411.951996
2019-05-22 14:12:00,000048.SZ,19.01,19.01,19.01,19.01,700,13307,0,0,201905221412.951996,201905221412.951996
2019-05-22 14:13:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:14:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:15:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:16:00,000048.SZ,19.07,19.07,19.07,19.07,200,3814,0.06,0.003156,201905221416.951996,201905221416.951996
2019-05-22 14:17:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:18:00,000048.SZ,19.01,19.01,19.01,19.01,1000,19010,-0.06,-0.003146,201905221418.951996,201905221418.951996
2019-05-22 14:19:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:20:00,000048.SZ,19,19,19,19,18500,351598,-0.01,-0.000526,201905221420.951996,201905221420.951996
